# generator: crates/mizar-checker/tests/lint_policy.rs::checker_live_source_inventory_matches_repository
# source-of-truth: crates/mizar-checker/{src,tests,benches,examples}/**/*.rs plus crates/mizar-checker/build.rs when present
schema	1
path	lines	boundary	owner_doc	split_required	hard_gate_finding	decision	public_surface
src/source_attribute_definition.rs	1516	module:source_attribute_definition	doc/design/mizar-checker/en/source_attribute_definition.md	no	no	keep-current-boundary	items:SourceAttributeDefiniens,SourceAttributeDefiniensId,SourceAttributeDefiniensInput,SourceAttributeDefiniensTable,SourceAttributeDefinition,SourceAttributeDefinitionError,SourceAttributeDefinitionHandoff,SourceAttributeDefinitionHandoffInput,SourceAttributeDefinitionId,SourceAttributeDefinitionInput,SourceAttributeDefinitionProducer,SourceAttributeDefinitionRecovery,SourceAttributeDefinitionTable,SourceAttributeParameter,SourceAttributeParameterId,SourceAttributeParameterInput,SourceAttributeParameterTable,SourceAttributeSubject,SourceAttributeSubjectId,SourceAttributeSubjectInput,SourceAttributeSubjectTable
src/source_composite_formula.rs	4700	module:source_composite_formula	doc/design/mizar-checker/en/source_composite_formula.md	no	no	keep-current-boundary	items:SourceBinderTypeHead,SourceBinderTypeSite,SourceBinderTypeSiteId,SourceBinderTypeSiteInput,SourceBinderTypeSiteTable,SourceCompositeFormula,SourceCompositeFormulaError,SourceCompositeFormulaHandoff,SourceCompositeFormulaHandoffInput,SourceCompositeFormulaId,SourceCompositeFormulaInput,SourceCompositeFormulaKind,SourceCompositeFormulaProducer,SourceCompositeFormulaRecovery,SourceCompositeFormulaTable,SourceFormulaEdge,SourceFormulaEdgeId,SourceFormulaEdgeInput,SourceFormulaEdgeRole,SourceFormulaEdgeTable,SourceFormulaRequest,SourceFormulaRequestId,SourceFormulaRequestInput,SourceFormulaRequestKind,SourceFormulaRequestTable,SourceFormulaRoot,SourceFormulaRootId,SourceFormulaRootInput,SourceFormulaRootOwnership,SourceFormulaRootTable,SourceFormulaWrapper,SourceFormulaWrapperId,SourceFormulaWrapperInput,SourceFormulaWrapperTable,SourceQuantifierBinder,SourceQuantifierBinderId,SourceQuantifierBinderInput,SourceQuantifierBinderTable
src/source_context.rs	1727	module:source_context	doc/design/mizar-checker/en/source_context.md	no	no	keep-current-boundary	items:SourceBindingContextBuild,SourceBindingContextHandoff,SourceBindingContextIncomplete,SourceBindingContextInput,SourceBindingContextOwner,SourceBindingContextProducer,SourceBindingContextProjection,SourceBindingSiteInput,SourceBindingSiteRole,SourceContextError,SourceContextLink,SourceContextLinkTable,SourceDeclaration,SourceDeclarationId,SourceDeclarationTable,SourceItem,SourceItemId,SourceItemInput,SourceItemRecovery,SourceItemRole,SourceItemTable,SourceItemVisibility
src/source_evidence.rs	2413	module:source_evidence	doc/design/mizar-checker/en/source_evidence.md	no	no	keep-current-boundary	items:SourceEvidenceDependencyCatalog,SourceEvidenceDependencyRecord,SourceEvidenceError,SourceEvidenceHandoff,SourceEvidenceHandoffInput,SourceEvidenceInputState,SourceEvidenceProducer,SourceEvidenceRecovery,SourceEvidenceRequest,SourceEvidenceRequestId,SourceEvidenceRequestInput,SourceEvidenceRequestKind,SourceEvidenceRequestOrigin,SourceEvidenceRequestTable,SourceEvidenceResponse,SourceEvidenceResponseDisposition,SourceEvidenceResponseId,SourceEvidenceResponseInput,SourceEvidenceResponseKey,SourceEvidenceResponsePayload,SourceEvidenceResponseProvenance,SourceEvidenceResponseTable
src/source_formula_composition.rs	12475	module:source_formula_composition	doc/design/mizar-checker/en/source_formula_composition.md	no	no	keep-current-boundary	items:SourceConditionFormulaCompositionError,SourceConditionFormulaCompositionHandoff,SourceConditionFormulaCompositionHandoffInput,SourceConditionFormulaCompositionProducer,SourceConditionFormulaEdge,SourceConditionFormulaEdgeId,SourceConditionFormulaEdgeInput,SourceConditionFormulaEdgeTable,SourceFormulaAtomicEdge,SourceFormulaAtomicEdgeId,SourceFormulaAtomicEdgeInput,SourceFormulaAtomicEdgeRole,SourceFormulaAtomicEdgeTable,SourceFormulaCompositionError,SourceFormulaCompositionHandoff,SourceFormulaCompositionHandoffInput,SourceFormulaCompositionProducer,SourceFraenkelGeneratorBindingContext,SourceFraenkelGeneratorBindingContextError,SourceFraenkelGeneratorBindingContextHandoff,SourceFraenkelGeneratorBindingContextId,SourceFraenkelGeneratorBindingContextProducer,SourceFraenkelGeneratorBindingContextTable,SourceFraenkelGeneratorBoundUse,SourceFraenkelGeneratorBoundUseError,SourceFraenkelGeneratorBoundUseHandoff,SourceFraenkelGeneratorBoundUseId,SourceFraenkelGeneratorBoundUseProducer,SourceFraenkelGeneratorBoundUseTable,SourceFraenkelGeneratorUsePosition,SourceFraenkelGeneratorUsePositionId,SourceFraenkelGeneratorUsePositionTable,SourceNestedFraenkelBinderUse,SourceNestedFraenkelBinderUseError,SourceNestedFraenkelBinderUseHandoff,SourceNestedFraenkelBinderUseId,SourceNestedFraenkelBinderUseProducer,SourceNestedFraenkelBinderUseTable,SourceNestedFraenkelCaptureGraphCapture,SourceNestedFraenkelCaptureGraphCaptureId,SourceNestedFraenkelCaptureGraphCaptureTable,SourceNestedFraenkelCaptureGraphError,SourceNestedFraenkelCaptureGraphGenerator,SourceNestedFraenkelCaptureGraphGeneratorId,SourceNestedFraenkelCaptureGraphGeneratorTable,SourceNestedFraenkelCaptureGraphHandoff,SourceNestedFraenkelCaptureGraphMapper,SourceNestedFraenkelCaptureGraphMapperId,SourceNestedFraenkelCaptureGraphMapperTable,SourceNestedFraenkelCaptureGraphOccurrence,SourceNestedFraenkelCaptureGraphOccurrenceId,SourceNestedFraenkelCaptureGraphOccurrenceTable,SourceNestedFraenkelCaptureGraphOwnerError,SourceNestedFraenkelCaptureGraphOwnerHandoff,SourceNestedFraenkelCaptureGraphOwnerProducer,SourceNestedFraenkelCaptureGraphPredicate,SourceNestedFraenkelCaptureGraphPredicateId,SourceNestedFraenkelCaptureGraphPredicateTable,SourceNestedFraenkelCaptureGraphProducer,SourceNestedFraenkelCaptureIdentity,SourceNestedFraenkelCaptureIdentityError,SourceNestedFraenkelCaptureIdentityHandoff,SourceNestedFraenkelCaptureIdentityId,SourceNestedFraenkelCaptureIdentityProducer,SourceNestedFraenkelCaptureIdentityTable,SourcePredicateChainCompositionError,SourcePredicateChainCompositionHandoff,SourcePredicateChainCompositionHandoffInput,SourcePredicateChainCompositionProducer,SourcePredicateChainConjunction,SourcePredicateChainConjunctionId,SourcePredicateChainConjunctionInput,SourcePredicateChainConjunctionTable,SourcePredicateChainNegation,SourcePredicateChainNegationId,SourcePredicateChainNegationInput,SourcePredicateChainNegationTable,SourceQuantifierBoundUse,SourceQuantifierBoundUseId,SourceQuantifierBoundUseInput,SourceQuantifierBoundUseTable
src/source_functor_definition.rs	2237	module:source_functor_definition	doc/design/mizar-checker/en/source_functor_definition.md	no	no	keep-current-boundary	items:SourceFunctorCorrectness,SourceFunctorCorrectnessId,SourceFunctorCorrectnessInput,SourceFunctorCorrectnessKind,SourceFunctorCorrectnessTable,SourceFunctorDefiniens,SourceFunctorDefiniensId,SourceFunctorDefiniensInput,SourceFunctorDefiniensTable,SourceFunctorDefiniensTarget,SourceFunctorDefinition,SourceFunctorDefinitionError,SourceFunctorDefinitionHandoff,SourceFunctorDefinitionHandoffInput,SourceFunctorDefinitionId,SourceFunctorDefinitionInput,SourceFunctorDefinitionProducer,SourceFunctorDefinitionProjection,SourceFunctorDefinitionRecovery,SourceFunctorDefinitionStyle,SourceFunctorDefinitionTable,SourceFunctorGuard,SourceFunctorGuardId,SourceFunctorGuardInput,SourceFunctorGuardTable,SourceFunctorParameter,SourceFunctorParameterId,SourceFunctorParameterInput,SourceFunctorParameterTable
src/source_mode_definition.rs	1877	module:source_mode_definition	doc/design/mizar-checker/en/source_mode_definition.md	no	no	keep-current-boundary	items:SourceModeApplication,SourceModeApplicationId,SourceModeApplicationInput,SourceModeApplicationTable,SourceModeDefinition,SourceModeDefinitionError,SourceModeDefinitionHandoff,SourceModeDefinitionHandoffInput,SourceModeDefinitionId,SourceModeDefinitionInput,SourceModeDefinitionProducer,SourceModeDefinitionProjection,SourceModeDefinitionRecovery,SourceModeDefinitionTable,SourceModeExpansion,SourceModeExpansionId,SourceModeExpansionInput,SourceModeExpansionTable,SourceModeInhabitationRequest,SourceModeInhabitationRequestId,SourceModeInhabitationRequestInput,SourceModeInhabitationRequestKind,SourceModeInhabitationRequestTable,SourceModeParameter,SourceModeParameterId,SourceModeParameterInput,SourceModeParameterTable,SourceModeProperty,SourceModePropertyId,SourceModePropertyInput,SourceModePropertyKind,SourceModePropertyTable
src/source_predicate_definition.rs	1794	module:source_predicate_definition	doc/design/mizar-checker/en/source_predicate_definition.md	no	no	keep-current-boundary	items:SourcePredicateCorrectness,SourcePredicateCorrectnessId,SourcePredicateCorrectnessInput,SourcePredicateCorrectnessTable,SourcePredicateDefinition,SourcePredicateDefinitionError,SourcePredicateDefinitionHandoff,SourcePredicateDefinitionHandoffInput,SourcePredicateDefinitionId,SourcePredicateDefinitionInput,SourcePredicateDefinitionProducer,SourcePredicateDefinitionProjection,SourcePredicateDefinitionRecovery,SourcePredicateDefinitionTable,SourcePredicateGuard,SourcePredicateGuardId,SourcePredicateGuardInput,SourcePredicateGuardTable,SourcePredicateParameter,SourcePredicateParameterId,SourcePredicateParameterInput,SourcePredicateParameterTable,SourcePredicateProperty,SourcePredicatePropertyId,SourcePredicatePropertyInput,SourcePredicatePropertyKind,SourcePredicatePropertyTable
src/source_proof_local_declaration.rs	8606	module:source_proof_local_declaration	doc/design/mizar-checker/en/source_proof_local_declaration.md	no	no	keep-current-boundary	items:SourceProofLocalDeclaration,SourceProofLocalDeclarationError,SourceProofLocalDeclarationHandoff,SourceProofLocalDeclarationHandoffInput,SourceProofLocalDeclarationId,SourceProofLocalDeclarationInput,SourceProofLocalDeclarationKind,SourceProofLocalDeclarationProducer,SourceProofLocalDeclarationRecovery,SourceProofLocalDeclarationTable,SourceProofLocalGivenBinding,SourceProofLocalGivenBindingError,SourceProofLocalGivenBindingHandoff,SourceProofLocalGivenBindingHandoffInput,SourceProofLocalGivenBindingId,SourceProofLocalGivenBindingProducer,SourceProofLocalGivenBindingRecovery,SourceProofLocalGivenBindingTable,SourceProofLocalGivenConditionBindingError,SourceProofLocalGivenConditionBindingHandoff,SourceProofLocalGivenConditionBindingHandoffInput,SourceProofLocalGivenConditionBindingProducer,SourceProofLocalGivenDescendantBindingError,SourceProofLocalGivenDescendantBindingHandoff,SourceProofLocalGivenDescendantBindingHandoffInput,SourceProofLocalGivenDescendantBindingProducer,SourceProofLocalGivenUseBindingError,SourceProofLocalGivenUseBindingHandoff,SourceProofLocalGivenUseBindingHandoffInput,SourceProofLocalGivenUseBindingProducer,SourceProofLocalLetBinding,SourceProofLocalLetBindingError,SourceProofLocalLetBindingHandoff,SourceProofLocalLetBindingHandoffInput,SourceProofLocalLetBindingId,SourceProofLocalLetBindingProducer,SourceProofLocalLetBindingRecovery,SourceProofLocalLetBindingTable
src/source_property_implementation.rs	3095	module:source_property_implementation	doc/design/mizar-checker/en/source_property_implementation.md	no	no	keep-current-boundary	items:SourcePropertyCarrierIdentity,SourcePropertyCorrectness,SourcePropertyCorrectnessId,SourcePropertyCorrectnessInput,SourcePropertyCorrectnessKind,SourcePropertyCorrectnessTable,SourcePropertyDefiniens,SourcePropertyDefiniensId,SourcePropertyDefiniensInput,SourcePropertyDefiniensTable,SourcePropertyDefiniensTarget,SourcePropertyEqualsSelectorAssociation,SourcePropertyEqualsSelectorIdentityError,SourcePropertyEqualsSelectorIdentityHandoff,SourcePropertyEqualsSelectorIdentityProducer,SourcePropertyImplementation,SourcePropertyImplementationError,SourcePropertyImplementationHandoff,SourcePropertyImplementationHandoffInput,SourcePropertyImplementationId,SourcePropertyImplementationInput,SourcePropertyImplementationProducer,SourcePropertyImplementationProjection,SourcePropertyImplementationRecovery,SourcePropertyImplementationStyle,SourcePropertyImplementationTable,SourcePropertyParameter,SourcePropertyParameterId,SourcePropertyParameterInput,SourcePropertyParameterTable,SourcePropertyTarget,SourcePropertyTargetId,SourcePropertyTargetInput,SourcePropertyTargetTable
